match_id,match_date,match_location,home_team_id,away_team_id,match_result
1,2000-01-01,East Kevinmouth,21,45,3:2
2,2000-01-08,New Kyle,29,58,3:2
3,2000-01-15,Lake Juanfort,48,89,3:2
4,2000-01-22,Hallport,26,27,1:3
5,2000-01-29,North Deborah,21,77,3:1
6,2000-02-05,South Morgan,95,30,3:1
7,2000-02-12,West Carly,16,92,3:2
8,2000-02-19,East Denniston,31,4,3:1
9,2000-02-26,West Shane,97,50,3:2
10,2000-03-04,South Heather,63,42,3:1
11,2000-03-11,Lake Michaela,19,90,3:1
12,2000-03-18,South Jessica,70,67,3:0
13,2000-03-25,East Oliviaborough,17,15,1:3
14,2000-04-01,Monicatown,9,84,3:0
15,2000-04-08,New Adriana,99,67,3:0
16,2000-04-15,Barnettmouth,1,61,3:2
17,2000-04-22,Herreraberg,87,97,2:3
18,2000-04-29,Lake Justinmouth,12,64,2:3
19,2000-05-06,Lake Derekstad,57,42,3:0
20,2000-05-13,Sandraside,41,47,3:2
21,2000-05-20,North Amy,78,65,3:2
22,2000-05-27,South Reneehaven,96,16,0:3
23,2000-06-03,Crosbybury,71,66,3:0
24,2000-06-10,Mitchellland,52,20,3:2
25,2000-06-17,West Nicole,29,28,3:1
26,2000-06-24,Richardsborough,51,40,1:3
27,2000-07-01,North Lindsey,75,98,3:0
28,2000-07-08,Lopezberg,69,31,3:2
29,2000-07-15,New Kathleen,86,32,3:0
30,2000-07-22,Davidland,89,38,3:2
31,2000-07-29,Smithville,84,40,1:3
32,2000-08-05,Daniellestad,31,23,3:1
33,2000-08-12,Port Lindsey,31,3,1:3
34,2000-08-19,Port Codyview,4,21,2:3
35,2000-08-26,Lake Rodney,23,8,3:0
36,2000-09-02,Caldwellhaven,85,44,3:0
37,2000-09-09,North Trevor,73,47,3:2
38,2000-09-16,Wilsonville,42,72,0:3
39,2000-09-23,West Carlabury,61,3,2:3
40,2000-09-30,Joelfurt,58,47,0:3
41,2000-10-07,Calderonmouth,46,85,1:3
42,2000-10-14,East Amandabury,15,62,1:3
43,2000-10-21,North Feliciachester,75,35,3:0
44,2000-10-28,Lake Cynthia,13,63,0:3
45,2000-11-04,Keyville,91,92,3:1
46,2000-11-11,Ramirezhaven,49,20,3:2
47,2000-11-18,Darrenmouth,93,98,2:3
48,2000-11-25,West Daniel,29,78,3:2
49,2000-12-02,Hardyport,64,61,3:2
50,2000-12-09,Port Kimberly,75,91,3:1
51,2000-12-16,Morenobury,64,2,3:0
52,2000-12-23,Elizabethmouth,92,66,2:3
53,2000-12-30,West Jasmineville,6,70,1:3
54,2001-01-06,New David,8,95,2:3
55,2001-01-13,Jacksonstad,52,66,3:2
56,2001-01-20,Port Joelfort,31,100,2:3
57,2001-01-27,East Alexander,7,21,3:2
58,2001-02-03,East Virginia,82,47,1:3
59,2001-02-10,East Charlottefurt,70,81,3:1
60,2001-02-17,Charlesview,38,81,3:0
61,2001-02-24,Bakerville,21,56,3:0
62,2001-03-03,Jeffreyton,67,7,2:3
63,2001-03-10,Port John,79,80,1:3
64,2001-03-17,North Justin,23,70,3:2
65,2001-03-24,New Kristy,47,66,3:1
66,2001-03-31,Port Shaneside,75,66,2:3
67,2001-04-07,Kochborough,26,61,0:3
68,2001-04-14,Lake Sean,30,65,1:3
69,2001-04-21,Lake Jenniferside,98,42,3:2
70,2001-04-28,West Tiffany,21,20,3:2
71,2001-05-05,Lake Heather,63,68,1:3
72,2001-05-12,West Kelliburgh,45,57,3:0
73,2001-05-19,Jodyton,4,86,2:3
74,2001-05-26,New Teresaville,48,84,0:3
75,2001-06-02,Bakershire,46,1,3:1
76,2001-06-09,Weissside,65,41,3:2
77,2001-06-16,North Tabitha,4,96,3:1
78,2001-06-23,North Richardchester,26,11,3:2
79,2001-06-30,Ryanfort,46,96,3:0
80,2001-07-07,New Nicoleland,25,53,0:3
81,2001-07-14,Kevinborough,36,74,3:0
82,2001-07-21,Brendatown,97,52,2:3
83,2001-07-28,Thomasview,45,46,2:3
84,2001-08-04,Port Rachel,44,75,3:0
85,2001-08-11,Katieland,4,52,3:0
86,2001-08-18,Scottton,42,39,2:3
87,2001-08-25,Davidport,26,42,0:3
88,2001-09-01,East Leahview,49,57,0:3
89,2001-09-08,Stephensonside,49,33,3:1
90,2001-09-15,East Stephanie,71,42,1:3
91,2001-09-22,Port Rachel,48,98,3:2
92,2001-09-29,Janetton,8,5,3:1
93,2001-10-06,Dianeland,78,75,2:3
94,2001-10-13,Jasonberg,57,42,1:3
95,2001-10-20,Michealview,37,62,3:0
96,2001-10-27,Robertsstad,28,90,0:3
97,2001-11-03,East Marissastad,88,20,3:1
98,2001-11-10,Danielfort,61,71,3:0
99,2001-11-17,Floresport,27,62,1:3
100,2001-11-24,Nicoleburgh,19,53,3:2
101,2001-12-01,East Lindsay,64,39,3:1
102,2001-12-08,Port Sydneytown,29,83,3:2
103,2001-12-15,New Joseph,26,52,3:2
104,2001-12-22,East Vincent,7,9,3:1
105,2001-12-29,Port Marcus,57,37,1:3
106,2002-01-05,Elizabethshire,12,42,2:3
107,2002-01-12,Port Markton,49,65,2:3
108,2002-01-19,Oconnellville,57,34,2:3
109,2002-01-26,North Robin,61,44,2:3
110,2002-02-02,Daltonmouth,81,12,1:3
111,2002-02-09,Mollybury,61,34,3:0
112,2002-02-16,Pammouth,16,43,3:0
113,2002-02-23,Robertview,56,28,3:0
114,2002-03-02,Melissamouth,55,35,0:3
115,2002-03-09,Kelleyfurt,3,62,3:2
116,2002-03-16,New Jessica,44,52,3:1
117,2002-03-23,New Sarah,17,26,3:2
118,2002-03-30,South Lorifurt,79,89,3:1
119,2002-04-06,Port Kevin,3,68,2:3
120,2002-04-13,Jacobview,69,60,0:3
121,2002-04-20,Esteschester,66,18,1:3
122,2002-04-27,New Donna,18,63,1:3
123,2002-05-04,New Emilystad,74,81,3:1
124,2002-05-11,Coleport,50,52,3:2
125,2002-05-18,Port Nicole,53,87,3:1
126,2002-05-25,East Margaret,42,18,2:3
127,2002-06-01,New Kathleenchester,28,14,3:2
128,2002-06-08,East Melanieshire,90,89,3:1
129,2002-06-15,Mossmouth,93,55,2:3
130,2002-06-22,West Debbie,18,93,3:1
131,2002-06-29,West Samuel,23,64,2:3
132,2002-07-06,Bradleymouth,63,10,0:3
133,2002-07-13,North Tinamouth,91,35,3:1
134,2002-07-20,North Matthewville,55,62,0:3
135,2002-07-27,Lorraineside,65,51,2:3
136,2002-08-03,South Edwardburgh,31,42,1:3
137,2002-08-10,Taylorshire,33,40,3:2
138,2002-08-17,South Meagan,41,81,0:3
139,2002-08-24,Richardsonborough,57,50,3:2
140,2002-08-31,Lake Saramouth,32,53,3:1
141,2002-09-07,Christopherburgh,92,55,2:3
142,2002-09-14,Lake Garrett,74,30,3:1
143,2002-09-21,Spearsberg,64,11,3:0
144,2002-09-28,Fieldstown,30,44,2:3
145,2002-10-05,Fritzview,63,2,2:3
146,2002-10-12,South Gregory,39,2,3:1
147,2002-10-19,Stewartton,7,20,0:3
148,2002-10-26,Vancefort,53,62,3:2
149,2002-11-02,Harrisonton,40,70,3:1
150,2002-11-09,Jaimemouth,92,32,3:2
151,2002-11-16,Jenniferhaven,73,47,0:3
152,2002-11-23,East Spencer,5,91,3:2
153,2002-11-30,East Marcusborough,20,28,1:3
154,2002-12-07,Jasonshire,60,8,3:2
155,2002-12-14,Denniston,16,71,0:3
156,2002-12-21,Lake Michaelburgh,75,67,1:3
157,2002-12-28,Gayshire,90,21,2:3
158,2003-01-04,West Javier,68,17,1:3
159,2003-01-11,Danieltown,22,20,0:3
160,2003-01-18,South Melissachester,30,45,3:2
161,2003-01-25,Dannytown,42,49,3:2
162,2003-02-01,East Robertton,35,24,1:3
163,2003-02-08,Glenhaven,5,68,0:3
164,2003-02-15,Huntside,96,19,3:2
165,2003-02-22,Lake Bryan,50,14,0:3
166,2003-03-01,Haleyland,8,58,3:2
167,2003-03-08,South Rogershire,95,13,3:1
168,2003-03-15,North Johnstad,55,44,3:0
169,2003-03-22,Nelsonfort,33,73,2:3
170,2003-03-29,Barrerastad,80,66,1:3
171,2003-04-05,Gabrielport,23,1,0:3
172,2003-04-12,North Josephborough,57,25,3:2
173,2003-04-19,North Richard,46,44,0:3
174,2003-04-26,Lake Robert,79,53,3:0
175,2003-05-03,West Jasonburgh,29,66,1:3
176,2003-05-10,South Jacob,88,23,3:2
177,2003-05-17,Masonview,47,84,2:3
178,2003-05-24,East Phillipmouth,47,21,0:3
179,2003-05-31,New Doristown,7,10,1:3
180,2003-06-07,East Brycehaven,89,83,3:2
181,2003-06-14,Henrychester,35,83,3:2
182,2003-06-21,New Amanda,38,6,3:1
183,2003-06-28,Warnermouth,9,99,2:3
184,2003-07-05,Lisamouth,35,39,2:3
185,2003-07-12,New Ryanfort,49,56,3:0
186,2003-07-19,North Cynthia,37,76,1:3
187,2003-07-26,Lake Lindsayshire,56,18,3:0
188,2003-08-02,North Natashahaven,97,63,3:2
189,2003-08-09,Leonardborough,31,25,1:3
190,2003-08-16,Jenniferland,18,79,3:0
191,2003-08-23,Rachelton,37,82,3:2
192,2003-08-30,Timothyfurt,7,32,3:2
193,2003-09-06,Rodriguezmouth,16,22,3:0
194,2003-09-13,East Jefferyfurt,91,68,2:3
195,2003-09-20,Port Christopher,95,74,1:3
196,2003-09-27,Reyesfort,2,97,3:2
197,2003-10-04,Hensonborough,10,83,3:0
198,2003-10-11,South Manuelberg,96,69,2:3
199,2003-10-18,South Adam,27,51,3:2
200,2003-10-25,Baileyberg,85,59,3:0
201,2003-11-01,Tammybury,3,76,0:3
202,2003-11-08,Port Christina,3,38,3:0
203,2003-11-15,Cervantesport,61,37,3:2
204,2003-11-22,Kingland,95,91,3:0
205,2003-11-29,East Reneefurt,17,10,3:2
206,2003-12-06,Christopherfurt,97,73,3:1
207,2003-12-13,Josephshire,51,95,3:0
208,2003-12-20,East Paulburgh,61,51,3:1
209,2003-12-27,New Susantown,3,32,1:3
210,2004-01-03,North Lisa,39,62,1:3
211,2004-01-10,Leslieside,61,63,3:2
212,2004-01-17,Tyroneborough,23,35,3:2
213,2004-01-24,South Richardside,44,71,1:3
214,2004-01-31,Port Christopherfort,78,29,3:0
215,2004-02-07,South Maryhaven,31,44,3:0
216,2004-02-14,Port Kristi,99,96,3:2
217,2004-02-21,Robertborough,21,32,1:3
218,2004-02-28,Sheltonchester,43,51,3:0
219,2004-03-06,West Virginiastad,88,22,0:3
220,2004-03-13,Floreston,84,2,3:1
221,2004-03-20,Lake Alejandrachester,58,84,0:3
222,2004-03-27,Lake David,82,87,1:3
223,2004-04-03,East Jill,31,24,2:3
224,2004-04-10,Kennethmouth,86,55,3:1
225,2004-04-17,West Rachel,19,25,1:3
226,2004-04-24,Deborahhaven,19,65,3:0
227,2004-05-01,Chadstad,48,8,1:3
228,2004-05-08,North Tiffanychester,1,80,0:3
229,2004-05-15,Jamiehaven,72,46,3:2
230,2004-05-22,North Terry,62,28,1:3
231,2004-05-29,Port Markmouth,7,49,3:1
232,2004-06-05,Autumnstad,54,67,1:3
233,2004-06-12,Stoutside,9,27,3:0
234,2004-06-19,Bradleyburgh,80,65,0:3
235,2004-06-26,Meganburgh,12,66,3:0
236,2004-07-03,New Gary,44,89,2:3
237,2004-07-10,Patrickchester,37,16,0:3
238,2004-07-17,Port Tammymouth,78,73,0:3
239,2004-07-24,West Heather,56,16,1:3
240,2004-07-31,Whitebury,26,35,1:3
241,2004-08-07,Robinsonberg,18,39,3:2
242,2004-08-14,New Kellyburgh,78,40,3:0
