status_id,player_id,match_id,points,assists,blocks
1,203,1,16,6,2
2,204,1,24,18,7
3,206,1,1,6,6
4,209,1,3,15,0
5,210,1,9,11,1
6,205,1,26,17,4
7,444,1,5,11,3
8,441,1,27,14,10
9,450,1,11,17,1
10,448,1,8,10,8
11,447,1,26,19,2
12,442,1,12,12,1
13,288,2,29,14,4
14,285,2,19,5,0
15,289,2,6,16,8
16,283,2,26,0,9
17,290,2,8,2,7
18,281,2,10,5,3
19,576,2,10,10,4
20,575,2,18,13,7
21,578,2,8,15,8
22,574,2,24,20,5
23,571,2,12,11,4
24,577,2,21,13,2
25,478,3,24,8,10
26,472,3,6,9,5
27,473,3,9,2,6
28,474,3,24,10,7
29,477,3,7,6,0
30,480,3,24,8,1
31,885,3,2,18,1
32,882,3,26,10,7
33,884,3,29,4,1
34,890,3,30,4,8
35,886,3,12,1,10
36,888,3,23,14,3
37,260,4,18,8,10
38,259,4,8,17,4
39,255,4,5,7,3
40,257,4,18,14,3
41,252,4,15,6,2
42,254,4,15,4,2
43,266,4,0,8,10
44,267,4,28,16,8
45,269,4,26,9,0
46,261,4,8,19,9
47,263,4,12,19,9
48,264,4,30,11,2
49,201,5,8,12,1
50,207,5,19,15,6
51,204,5,21,12,8
52,202,5,23,9,8
53,203,5,19,9,3
54,206,5,19,14,4
55,764,5,4,7,3
56,768,5,18,16,8
57,769,5,4,8,3
58,766,5,28,8,6
59,765,5,26,7,1
60,770,5,17,3,1
61,944,6,10,13,6
62,946,6,12,11,2
63,941,6,4,7,8
64,948,6,15,7,5
65,950,6,16,17,7
66,943,6,26,9,1
67,300,6,18,13,1
68,296,6,10,12,2
69,298,6,14,2,6
70,293,6,6,12,4
71,294,6,10,13,2
72,297,6,26,11,1
73,158,7,17,12,10
74,155,7,22,3,6
75,159,7,27,0,3
76,151,7,4,13,6
77,153,7,11,7,5
78,157,7,23,5,5
79,917,7,9,10,8
80,914,7,12,13,0
81,913,7,9,17,10
82,911,7,5,12,0
83,915,7,20,9,1
84,916,7,29,15,0
85,308,8,28,12,6
86,304,8,5,12,2
87,305,8,5,7,7
88,303,8,21,0,1
89,307,8,17,7,3
90,302,8,24,3,9
91,40,8,7,0,8
92,31,8,29,10,4
93,38,8,7,9,10
94,33,8,6,10,1
95,39,8,27,9,6
96,32,8,1,0,6
97,961,9,5,4,3
98,969,9,24,1,6
99,963,9,20,3,6
