team_id,team_name,country
1,Boyle and Sons,United Arab Emirates
2,Chandler-Rios,Morocco
3,Hernandez Hawkins and Larson,Australia
4,Rojas-Macdonald,Afghanistan
5,Jones PLC,Kenya
6,Brown Rodriguez and Smith,Jordan
7,Ferguson-Bell,Suriname
8,Eaton Kemp and Fry,Hong Kong
9,Reed Inc,Peru
10,Wilson Ltd,Kazakhstan
11,Oconnell and Sons,Iraq
12,Evans Group,Egypt
13,Cochran Garcia and Barajas,Kyrgyz Republic
14,Gray Pearson and Gray,Tuvalu
15,Thompson-Cook,Palau
16,Garcia-Day,South Africa
17,Adams Tran and Stark,Botswana
18,Sheppard Mclean and Rodriguez,Botswana
19,Allen LLC,Tunisia
20,Brewer-Jones,Samoa
21,Adams LLC,Maldives
22,Pierce Vance and Lopez,Liechtenstein
23,Vega Hawkins and Malone,Japan
24,Preston Jones and Middleton,Suriname
25,Olson LLC,Azerbaijan
26,Marsh-Bradford,Western Sahara
27,Wagner Lewis and Ruiz,Gabon
28,Andrews Stevens and Tran,Zimbabwe
29,Simon LLC,Rwanda
30,Jenkins-Graham,Cameroon
31,Figueroa-Ross,Uruguay
32,Lawrence Perez and Phillips,Bolivia
33,Castillo Group,Kiribati
34,Hardy-Wells,Slovakia (Slovak Republic)
35,Frank and Sons,Gibraltar
36,Fletcher Mitchell and Booth,Belize
37,Allen Group,Serbia
38,West-Cox,Egypt
39,Webb-Schmitt,Estonia
40,Roberts Inc,Marshall Islands
41,Tucker-Andrews,Saint Vincent and the Grenadines
42,Rivas-Braun,Saint Pierre and Miquelon
43,Adams Group,Zambia
44,Phillips Smith and Baldwin,Suriname
45,Thomas Group,French Southern Territories
46,Valentine-Graves,Argentina
47,Chapman Inc,Japan
48,Stevens LLC,Mauritania
49,Young Group,Bouvet Island (Bouvetoya)
50,Gonzalez-Bush,Tajikistan
51,Miller Ltd,Antarctica (the territory South of 60 deg S)
52,Bentley-Christian,Liberia
53,Knox-Mcdowell,Kazakhstan
54,Harris-Nichols,Austria
55,Hale-Rivera,Colombia
56,Tucker Ltd,Lebanon
57,Gibson Group,Cook Islands
58,Wagner PLC,Greece
59,Murphy-Meyer,Gibraltar
60,Jensen PLC,Burundi
61,Carlson and Sons,New Zealand
62,Allen-Vang,United States Minor Outlying Islands
63,Ewing Ltd,Sri Lanka
64,Vaughan PLC,Montserrat
65,Carlson Gibbs and Mcknight,Monaco
66,Frye King and Taylor,South Africa
67,Harmon Group,Egypt
68,Frazier Smith and Gray,Palestinian Territory
69,Johnson-Chase,United States Minor Outlying Islands
70,Brown-Dawson,Panama
71,Kemp LLC,Samoa
72,Love Berry and Jones,Wallis and Futuna
73,Ochoa Group,Belarus
74,Diaz and Sons,Fiji
75,Alexander and Sons,Congo
76,Diaz-Thompson,Estonia
77,Keller Leonard and Hernandez,Bahamas
78,Turner Charles and Davis,Panama
79,Burns and Sons,Macao
80,Ryan-Dawson,Tunisia
81,Sutton Davis and Wong,Iran
82,Fuller-Robertson,Portugal
83,Reynolds Smith and Dudley,Bahamas
84,Ramirez Alexander and Thomas,Tonga
85,Butler-Carroll,Uzbekistan
86,Hayes-Whitaker,Lithuania
87,Perkins and Sons,Puerto Rico
88,Garcia-King,Paraguay
89,Reese PLC,French Southern Territories
90,Rubio-Walters,Eritrea
91,Woods Ltd,Tuvalu
92,Hardy-Smith,Congo
93,Gardner-Daniels,Dominican Republic
94,Patterson-Casey,Thailand
95,Miller LLC,American Samoa
96,Bowen Group,Liechtenstein
97,Monroe Group,Eritrea
98,Simpson King and Estrada,Mexico
99,Owens Wiggins and Nichols,Cote d'Ivoire
100,Giles Little and Day,Equatorial Guinea
